created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-04-12T11:31:33+00:00,1,27.3,70.2,,,,
2024-04-12T11:34:11+00:00,2,27.3,70.3,,,,
2024-04-12T11:34:55+00:00,3,27.3,70.5,,,,
2024-04-12T11:36:05+00:00,4,27.3,70.5,,,,
2024-04-12T11:38:23+00:00,5,27.4,70.3,,,,
2024-04-12T11:39:30+00:00,6,27.3,70.4,,,,
2024-04-12T11:39:47+00:00,7,27.4,70.4,,,,
2024-04-12T11:40:28+00:00,8,27.3,70.7,,,,
2024-04-12T11:40:44+00:00,9,27.3,70.6,,,,
2024-04-12T11:41:22+00:00,10,27.4,70.7,,,,
2024-04-12T11:41:59+00:00,11,27.5,70.6,,,,
2024-04-12T11:42:15+00:00,12,27.5,70.8,,,,
2024-04-12T11:42:44+00:00,13,27.4,70.9,,,,
2024-04-12T11:43:14+00:00,14,27.5,70.6,,,,
2024-04-12T11:43:43+00:00,15,27.5,70.8,,,,
2024-04-12T11:44:00+00:00,16,27.6,70.8,,,,
2024-04-12T11:44:23+00:00,17,27.6,70.9,,,,
2024-04-12T11:44:39+00:00,18,27.5,70.7,,,,
2024-04-12T11:45:12+00:00,19,27.7,71.0,,,,
2024-04-12T11:46:11+00:00,20,27.5,71.0,,,,
2024-04-12T11:46:39+00:00,21,27.6,71.2,,,,
2024-04-12T11:46:59+00:00,22,27.7,71.1,,,,
2024-04-12T11:47:41+00:00,23,27.5,71.2,,,,
2024-04-12T11:48:02+00:00,24,27.5,71.2,,,,
2024-04-12T11:48:42+00:00,25,27.6,71.2,,,,
2024-04-12T11:48:57+00:00,26,27.6,71.5,,,,
2024-04-12T11:49:19+00:00,27,27.5,71.5,,,,
2024-04-12T11:49:39+00:00,28,27.5,71.5,,,,
2024-04-12T11:50:00+00:00,29,27.6,71.7,,,,
2024-04-12T11:50:37+00:00,30,27.5,71.7,,,,
2024-04-12T11:51:22+00:00,31,27.6,71.8,,,,
2024-04-12T11:52:17+00:00,32,27.6,71.7,,,,
2024-04-12T11:53:18+00:00,33,27.5,71.8,,,,
2024-04-12T11:53:36+00:00,34,27.6,71.8,,,,
2024-04-12T11:53:57+00:00,35,27.7,72.0,,,,
2024-04-12T11:54:35+00:00,36,27.6,72.0,,,,
2024-04-12T11:54:55+00:00,37,27.5,72.2,,,,
2024-04-12T11:55:21+00:00,38,27.5,72.0,,,,
2024-04-12T11:55:52+00:00,39,27.5,72.0,,,,
2024-04-12T11:56:24+00:00,40,27.6,72.0,,,,
2024-04-12T11:56:50+00:00,41,27.6,72.2,,,,
2024-04-12T11:57:07+00:00,42,27.5,72.2,,,,
2024-04-12T11:57:37+00:00,43,27.8,72.1,,,,
2024-04-12T11:57:57+00:00,44,27.7,72.2,,,,
2024-04-12T11:58:24+00:00,45,27.6,72.1,,,,
2024-04-12T11:58:51+00:00,46,27.6,72.1,,,,
2024-04-12T11:59:08+00:00,47,27.6,72.0,,,,
2024-04-12T11:59:33+00:00,48,27.6,72.2,,,,
2024-04-12T11:59:53+00:00,49,27.8,72.1,,,,
2024-04-12T12:00:10+00:00,50,27.8,72.1,,,,
2024-04-12T12:00:27+00:00,51,27.7,72.2,,,,
2024-04-12T12:00:59+00:00,52,27.8,72.1,,,,
2024-04-12T12:01:16+00:00,53,27.8,72.0,,,,
2024-04-12T12:01:38+00:00,54,27.8,71.9,,,,
2024-04-12T12:02:10+00:00,55,27.9,71.8,,,,
2024-04-12T12:02:49+00:00,56,27.8,72.1,,,,
2024-04-12T12:03:10+00:00,57,27.8,71.9,,,,
2024-04-12T12:03:28+00:00,58,27.9,71.8,,,,
2024-04-12T12:03:59+00:00,59,27.9,72.1,,,,
2024-04-12T12:04:15+00:00,60,27.6,72.2,,,,
2024-04-12T12:04:43+00:00,61,27.8,72.0,,,,
2024-04-12T12:05:18+00:00,62,27.9,71.9,,,,
2024-04-12T12:06:39+00:00,63,27.8,71.9,,,,
2024-04-12T12:07:16+00:00,64,27.7,72.2,,,,
2024-04-12T12:07:40+00:00,65,27.8,72.0,,,,
2024-04-12T12:08:06+00:00,66,27.8,72.0,,,,
2024-04-12T12:08:45+00:00,67,27.9,72.1,,,,
2024-04-12T12:09:17+00:00,68,27.8,72.0,,,,
2024-04-12T12:09:48+00:00,69,27.8,72.1,,,,
2024-04-12T12:10:33+00:00,70,27.8,72.1,,,,
2024-04-12T12:11:02+00:00,71,27.8,72.1,,,,
2024-04-12T12:12:33+00:00,72,27.6,72.5,,,,
2024-04-12T12:12:49+00:00,73,27.6,72.6,,,,
2024-04-12T12:13:38+00:00,74,27.6,72.5,,,,
2024-04-12T12:14:01+00:00,75,27.7,72.6,,,,
2024-04-12T12:14:17+00:00,76,27.8,72.5,,,,
2024-04-12T12:14:46+00:00,77,27.8,72.5,,,,
2024-04-12T12:15:16+00:00,78,27.7,72.7,,,,
2024-04-12T12:15:37+00:00,79,27.8,72.5,,,,
2024-04-12T12:16:02+00:00,80,27.8,72.7,,,,
